loco_id,ID,Type,Item,License,Daily_maintenance_in [h],long_term_maintenance_begin,long_term_maintenance_end,location,H_E,H_D,N_E,loco_metatype,loco_req
17,Type4 - 166,Type4,166,PL,,,,,,,,H_D,Type4
18,Type4 - 173,Type4,173,PL,,,,,,,,H_D,Type4
19,Type4 - 178,Type4,178,PL,,,,,,,,H_D,Type4
20,Type4 - 196,Type4,196,PL,,,,,,,,H_D,Type4
21,Type4 - 227,Type4,227,PL,,,,,,,,H_D,Type4
22,Type4 - 248,Type4,248,PL,,,,,,,,H_D,Type4
81,Type4 - 189,Type4,189,PL,,,,,,,,H_D,Type4
82,Type4 - 153,Type4,153,PL,,,,,,,,H_D,Type4
83,Type4 - 157,Type4,157,PL,,,,,,,,H_D,Type4
84,Type4 - 163,Type4,163,PL,,,,,,,,H_D,Type4
85,Type4 - 180,Type4,180,PL,,,,,,,,H_D,Type4
86,Type4 - 237,Type4,237,PL,,,,,,,,H_D,Type4
87,Type4 - 146,Type4,146,PL,,,,,,,,H_D,Type4
88,Type4 - 220,Type4,220,PL,,,,,,,,H_D,Type4
89,Type4 - 159,Type4,159,PL,,,,,,,,H_D,Type4
3,Type5 - 43,Type5,43,PL,,,,,,,,H_E,Type5
4,Type5 - 42,Type5,42,PL,,,,,,,,H_E,Type5
5,Type5 - 52,Type5,52,PL,,,,,,,,H_E,Type5
6,Type5 - 45,Type5,45,PL,,,,,,,,H_E,Type5
7,Type5 - 38,Type5,38,PL,,,,,,,,H_E,Type5
8,Type5 - 41,Type5,41,PL,,,,,,,,H_E,Type5
9,Type5 - 35,Type5,35,PL,,,,,,,,H_E,Type5
10,Type5 - 39,Type5,39,PL,,,,,,,,H_E,Type5
11,Type5 - 37,Type5,37,PL,,,,,,,,H_E,Type5
12,Type5 - 40,Type5,40,PL,,,,,,,,H_E,Type5
13,Type5 - 57,Type5,57,PL,,,,,,,,H_E,Type5
14,Type5 - 49,Type5,49,PL,,,,,,,,H_E,Type5
16,Type5 - 36,Type5,36,PL,,,,,,,,H_E,Type5
29,Type5 - 48,Type5,48,PL,,,,,,,,H_E,Type5
41,Type5 - 53,Type5,53,PL,,,,,,,,H_E,Type5
42,Type5 - 51,Type5,51,PL,,,,,,,,H_E,Type5
43,Type5 - 54,Type5,54,PL,,,,,,,,H_E,Type5
44,Type5 - 55,Type5,55,PL,,,,,,,,H_E,Type5
57,Type5 - 47,Type5,47,PL,,,,,,,,H_E,Type5
60,Type5 - 46,Type5,46,PL,,,,,,,,H_E,Type5
61,Type5 - 44,Type5,44,PL,,,,,,,,H_E,Type5
62,Type5 - 50,Type5,50,PL,,,,,,,,H_E,Type5
93,Type5 - 56,Type5,56,PL,,,,,,,,H_E,Type5
2,Type6 - 6495,Type6,6495,PL,,,,,,,,N_D,Type6
34,Type6 - 6472,Type6,6472,PL,,,,,,,,N_D,Type6
35,Type6 - 6488,Type6,6488,PL,,,,,,,,N_D,Type6
36,Type6 - 6496,Type6,6496,PL,,,,,,,,N_D,Type6
37,Type6 - 6501,Type6,6501,PL,,,,,,,,N_D,Type6
52,Type6 - 6453,Type6,6453,PL,,,,,,,,N_D,Type6
53,Type6 - 6492,Type6,6492,PL,,,,,,,,N_D,Type6
54,Type6 - 6494,Type6,6494,PL,,,,,,,,N_D,Type6
55,Type6 - 6497,Type6,6497,PL,,,,,,,,N_D,Type6
56,Type6 - 6458,Type6,6458,PL,,,,,,,,N_D,Type6
75,Type6 - 6405,Type6,6405,PL,,,,,,,,N_D,Type6
76,Type6 - 6445,Type6,6445,PL,,,,,,,,N_D,Type6
77,Type6 - 6459,Type6,6459,PL,,,,,,,,N_D,Type6
78,Type6 - 6480,Type6,6480,PL,,,,,,,,N_D,Type6
79,Type6 - 6483,Type6,6483,PL,,,,,,,,N_D,Type6
80,Type6 - 6489,Type6,6489,PL,,,,,,,,N_D,Type6
109,Type6 - 6402,Type6,6402,PL,,,,,,,,N_D,Type6
110,Type6 - 6404,Type6,6404,PL,,,,,,,,N_D,Type6
111,Type6 - 6473,Type6,6473,PL,,,,,,,,N_D,Type6
112,Type6 - 6474,Type6,6474,PL,,,,,,,,N_D,Type6
113,Type6 - 6485,Type6,6485,PL,,,,,,,,N_D,Type6
114,Type6 - 6487,Type6,6487,PL,,,,,,,,N_D,Type6
115,Type6 - 6493,Type6,6493,PL,,,,,,,,N_D,Type6
116,Type6 - 6500,Type6,6500,PL,,,,,,,,N_D,Type6
135,Type6 - 6401,Type6,6401,PL,,,,,,,,N_D,Type6
136,Type6 - 6408,Type6,6408,PL,,,,,,,,N_D,Type6
137,Type6 - 6410,Type6,6410,PL,,,,,,,,N_D,Type6
138,Type6 - 6444,Type6,6444,PL,,,,,,,,N_D,Type6
139,Type6 - 6486,Type6,6486,PL,,,,,,,,N_D,Type6
140,Type6 - 6490,Type6,6490,PL,,,,,,,,N_D,Type6
141,Type6 - 6491,Type6,6491,PL,,,,,,,,N_D,Type6
142,Type6 - 6498,Type6,6498,PL,,,,,,,,N_D,Type6
143,Type6 - 6499,Type6,6499,PL,,,,,,,,N_D,Type6
1,Type7 - 90,Type7,90,PL,,,,,,,,N_D,Type7
