train_id,old_train,day_week,departure_station,departure_time,arrival_id,arrival_time,circulation,country,route_id,travel_time,d_station_group,a_station_group,d_station_group,Heavy,Electric,Diesel,H_E,H_D,N_E,loco_metatype,loco_req
1855,PL050PL032,6,PL050,43883.01111,PL032,43883.28542,4,,R011,,,,,,,,,,,H_E,Type5
1856,PL071PL020,6,PL071,43883.02292,PL020,43883.12986,4,,R069,,,,,,,,,,,N_E,Type8
1857,PL007PL006,6,PL007,43883.02708,PL006,43883.25972,4,,R035,,,,,,,,,,,N_E,Type8
1858,PL032PL094,6,PL032,43883.04931,PL094,43883.19583,4,,R015,,,,,,,,,,,0,Type3
1859,PL094PL030,6,PL094,43883.05486,PL030,43883.23958,4,,R085,,,,,,,,,,,H_E,Type5
1860,PL017PL020,6,PL017,43883.05764,PL020,43883.12569,4,,R024,,,,,,,,,,,N_E,Type8
1861,PL020PL016,6,PL020,43883.06667,PL016,43883.08333,4,,R022,,,,,,,,,,,N_D,Type6
1862,PL048PL050,6,PL048,43883.08056,PL050,43883.275,4,,R078,,,,,,,,,,,H_E,Type5
1863,PL032PL050,6,PL032,43883.10417,PL050,43883.34931,4,,R011,,,,,,,,,,,H_E,Type5
1864,PL031PL015,6,PL031,43883.125,PL015,43883.15417,4,,R128,,,,,,,,,,,H_E,Type5
1865,PL012PL020,6,PL012,43883.125,PL020,43883.14097,4,,R081,,,,,,,,,,,N_D,Type6
1866,PL020PL006,6,PL020,43883.14375,PL006,43883.47222,4,,R054,,,,,,,,,,,N_E,Type8
1867,PL013PL006,6,PL013,43883.1625,PL006,43883.31181,4,,R059,,,,,,,,,,,N_D,Type6
1868,PL008PL022,6,PL008,43883.16667,PL022,43883.24931,4,,R127,,,,,,,,,,,N_D,Type6
1869,PL058PL094,6,PL058,43883.17014,PL094,43883.21319,4,,R102,,,,,,,,,,,N_D,Type6
1870,PL032PL094,6,PL032,43883.1875,PL094,43883.32708,4,,R015,,,,,,,,,,,0,Type3
1871,PL026PL003,6,PL026,43883.19722,PL003,43883.27292,4,,R027,,,,,,,,,,,H_E,Type5
1872,PL026PL020,6,PL026,43883.20833,PL020,43883.61806,4,,R092,,,,,,,,,,,H_E,Type5
1873,PL033PL003,6,PL033,43883.21528,PL003,43883.24028,4,,R048,,,,,,,,,,,N_D,Type7
1874,PL007PL094,6,PL007,43883.21736,PL094,43883.46597,4,,R039,,,,,,,,,,,N_E,Type8
1875,PL032PL094,6,PL032,43883.22222,PL094,43883.3375,4,,R015,,,,,,,,,,,0,Type3
1876,PL016PL020,6,PL016,43883.22361,PL020,43883.24028,4,,R022,,,,,,,,,,,N_D,Type6
1877,PL094PL011,6,PL094,43883.24306,PL011,43883.24931,4,,R038,,,,,,,,,,,N_D,Type6
1878,PL015PL011,6,PL015,43883.24653,PL011,43883.53819,4,,R123,,,,,,,,,,,H_E,Type5
1879,PL020PL017,6,PL020,43883.25,PL017,43883.30486,4,,R024,,,,,,,,,,,N_E,Type8
1880,PL003PL026,6,PL003,43883.26944,PL026,43883.33403,4,,R027,,,,,,,,,,,H_E,Type5
1881,PL094PL011,6,PL094,43883.27917,PL011,43883.28472,4,,R038,,,,,,,,,,,0,Type3
1882,PL035PL020,6,PL035,43883.28819,PL020,43883.55486,4,,R094,,,,,,,,,,,H_D,Type4
1883,PL050PL032,6,PL050,43883.28889,PL032,43883.56528,4,,R011,,,,,,,,,,,H_E,Type5
1884,PL032PL050,6,PL032,43883.3375,PL050,43883.59653,4,,R011,,,,,,,,,,,H_E,Type5
1885,PL026PL003,6,PL026,43883.34167,PL003,43883.425,4,,R027,,,,,,,,,,,H_E,Type5
1886,PL050PL048,6,PL050,43883.36319,PL048,43883.58611,4,,R078,,,,,,,,,,,H_E,Type5
1887,PL020PL076,6,PL020,43883.375,PL076,43883.41667,4,,R051,,,,,,,,,,,N_D,Type6
1888,PL006PL007,6,PL006,43883.37847,PL007,43883.56944,4,,R035,,,,,,,,,,,N_E,Type8
1889,PL094PL029,6,PL094,43883.38542,PL029,43883.39792,4,,R053,,,,,,,,,,,N_D,Type6
1890,PL003PL026,6,PL003,43883.40625,PL026,43883.48958,4,,R027,,,,,,,,,,,H_E,Type5
1891,PL011PL094,6,PL011,43883.40625,PL094,43883.41181,4,,R038,,,,,,,,,,,0,Type3
1892,PL094PL007,6,PL094,43883.40833,PL007,43883.59931,4,,R039,,,,,,,,,,,N_E,Type8
1893,PL008PL016,6,PL008,43883.41667,PL016,43883.5625,4,,R067,,,,,,,,,,,H_D,Type4
1894,PL019PL022,6,PL019,43883.41667,PL022,43883.5,4,,R043,,,,,,,,,,,N_D,Type6
1895,PL011PL032,6,PL011,43883.41736,PL032,43883.55625,4,,R052,,,,,,,,,,,0,Type3
