origin,destination,distance [m],duration
PL001,PL002,383665,0.193738426
PL001,PL003,181226,0.070243056
PL001,PL005,344776,0.149212963
PL001,PL006,384958,0.195127315
PL001,PL007,125644,0.057013889
PL001,PL008,252756,0.126261574
PL001,PL010,439700,0.16537037
PL001,PL011,195019,0.093506944
PL001,PL012,176823,0.103981481
PL001,PL013,383628,0.192280093
PL001,PL015,397271,0.148680556
PL001,PL016,172403,0.102013889
PL001,PL017,178243,0.097974537
PL001,PL018,396732,0.147291667
PL001,PL019,237014,0.122638889
PL001,PL020,180393,0.110104167
PL001,PL022,173027,0.105740741
PL001,PL023,262295,0.110150463
PL001,PL024,158098,0.077997685
PL001,PL026,323729,0.126550926
PL001,PL027,204280,0.115266204
PL001,PL028,197658,0.10337963
PL001,PL029,201836,0.098344907
PL001,PL030,169941,0.071122685
PL001,PL031,412797,0.155358796
PL001,PL032,359883,0.157465278
PL001,PL033,199365,0.085729167
PL001,PL034,170311,0.106875
PL001,PL035,268977,0.143993056
PL001,PL036,124192,0.055636574
PL001,PL037,189668,0.080115741
PL001,PL040,95757,0.061284722
PL001,PL041,249087,0.117465278
PL001,PL043,281995,0.138761574
PL001,PL044,198968,0.095428241
PL001,PL045,195151,0.076863426
PL001,PL046,261276,0.142835648
PL001,PL047,175895,0.105277778
PL001,PL048,173860,0.098113426
PL001,PL049,417820,0.186145833
PL001,PL050,168831,0.08193287
PL001,PL051,412923,0.182094907
PL001,PL052,131148,0.056261574
PL001,PL054,11120,0.009710648
PL001,PL055,219652,0.133645833
PL001,PL056,161377,0.097650463
PL001,PL057,425920,0.211643519
PL001,PL058,242951,0.11599537
PL001,PL059,513460,0.228252315
PL001,PL060,194627,0.117291667
PL001,PL061,181373,0.10380787
PL001,PL062,169401,0.101840278
PL001,PL063,256537,0.150821759
PL001,PL064,236540,0.121863426
PL001,PL065,146855,0.089097222
PL001,PL066,170446,0.082256944
PL001,PL067,179301,0.112569444
PL001,PL068,341430,0.133715278
PL001,PL069,381311,0.150590278
PL001,PL070,166409,0.066342593
PL001,PL071,250870,0.128645833
PL001,PL072,112772,0.072222222
PL001,PL073,190191,0.074143519
PL001,PL074,108117,0.070671296
PL001,PL075,177759,0.100335648
PL001,PL076,207305,0.119143519
PL001,PL077,1847,0.003217593
PL001,PL078,92010,0.061805556
PL001,PL079,173573,0.068483796
PL001,PL080,220693,0.087962963
PL001,PL081,180262,0.106944444
PL001,PL082,173909,0.104606481
